"Position","Image Count","Price","Property Title","Location","Bedrooms and Bathrooms","Property Type","Property URL","Property Image","Company Logo","Contact Number"
1,10,"124,937 OMR","2 BR Freehold Stunning Apartment in Muscat Hills","مسقط هيلز, مسقط, عمان","2

 

2","شقة","https://www.mawa.om/ar/sale/2-br-freehold-stunning-apartment-in-muscat-hills-1770790373-1465","https://imagesmawa.b-cdn.net/public/uploads/property_image/2026/02/p99vpx6upElffR2.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893389810"
2,14,"850,000 OMR","Five bedroom Tombazi Villa, Al Mouj Muscat","الموج, مسقط, عمان","5

 

5","فيلا","https://www.mawa.om/ar/sale/five-bedroom-tombazi-villa-al-mouj-muscat-1682405543-644","https://imagesmawa.b-cdn.net/public/uploads/property_image/2023/04/4hm4X9p1jHcRk8i.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/41248.jpg","tel:+96899337986"
3,7,"60,000 OMR","2 BR Modern Apartment with Shared Pool and Gym in Qurum","القرم, مسقط, عمان","2

 

2","شقة","https://www.mawa.om/ar/sale/2-br-modern-apartment-with-shared-pool-and-gym-in-qurum-1758517835-6932","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/09/RBcnVvT8i56ki3.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96891991280"
4,6,"180,000 OMR","شقة راقية للبيع في جمان 2","الموج, مسقط, عمان","1

 

1","84 متر مربع","https://www.mawa.om/ar/sale/elegant-1bhk-apartment-for-sale-in-juman-2-1779707742-5078","https://imagesmawa.b-cdn.net/public/uploads/property_image/2026/05/FyEwLBQTLC.png","https://imagesmawa.b-cdn.net/public/uploads/company_image/19Wztl8ijC.jpg","tel:+96871666610"
5,0,"33,000 OMR","1 BR Freehold Apartment in Duqm",,"1

 

1","شقة","https://www.mawa.om/ar/sale/1-br-freehold-apartment-in-duqm-1753772563-1949",,"https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893893443"
6,10,"170,000 OMR","Charming Townhouse for Sale in Al Mouj | REF 547MB","الموج, مسقط, عمان","3

 

3","فيلا","https://www.mawa.om/ar/sale/charming-townhouse-for-sale-in-al-mouj-ref-547mb-1723363144-2759","https://imagesmawa.b-cdn.net/public/uploads/property_image/2024/08/2q4v35DShqjDNcg.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png","tel:+96891225022"
7,5,"97,000 OMR","Brand New Apartments for Sale in Al Mouj | REF 985TB","الموج, مسقط, عمان","1

 

1","84 متر مربع","https://www.mawa.om/ar/sale/brand-new-apartments-for-sale-in-al-mouj-ref-985tb-1745741380-7635","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/04/iDcLAF0qCJ.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png","tel:+96891225022"
8,8,"80,000 OMR","للبيع فيلا 5 غرف الموقع المعبيله الجنوبيه","المعبيلة , مسقط, عمان","5

 

6","341 متر مربع","https://www.mawa.om/ar/sale/for-sale-5-bhk-villa-located-in-al-mabillah-south-1594791409-8890","https://imagesmawa.b-cdn.net/public/uploads/property_image/920131594791409.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/88517.jpg","tel:+96891248444"
9,7,"31,458 OMR","1 BR Freehold Apartment with Laundry With Nearby Amenities",,"1

 

2","شقة","https://www.mawa.om/ar/sale/1-br-freehold-apartment-with-laundry-with-nearby-amenities-1739167629-7428","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/02/VE82rt00t0jwhe6.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96871112421"
10,10,"90,085 OMR","1 BR Top Notch Apartment – The Great Escape, AIDA by DarGlobal","يتي , مسقط, عمان","1

 

2","شقة","https://www.mawa.om/ar/sale/1-br-top-notch-apartment-the-great-escape-aida-by-darglobal-1744788902-5240","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/04/l0Exs1CAu6spK7.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893893443"
11,9,"120,000 OMR","فيلا واسعة في الخوض بالقرب من جامعة السلطان قابوس","الخوض, مسقط, عمان","5

 

6","395 متر مربع","https://www.mawa.om/ar/sale/5-bedroom-spacious-villa-in-al-khoud-near-sultan-qaboos-university-1600948788-1524","https://imagesmawa.b-cdn.net/public/uploads/property_image/278161600948788.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/76989.jpg","tel:+96897079097"
12,2,"16,000 OMR","مسقط - المعبيلة الجنوبية - بناية البادية","المعبيلة , مسقط, عمان",,"13 متر مربع","https://www.mawa.om/ar/sale/mskt-almaabyl-aljnoby-bnay-albady-1624784444-9573","https://imagesmawa.b-cdn.net/public/uploads/property_image/S33vgAMnhm.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/900321624710126.jpeg","tel:+96899133552"
13,9,"Price on request","شقة غرفة و صالة فاخرة","طاقة, ظفار, عمان","1

 

1","72 متر مربع","https://www.mawa.om/ar/sale/luxury-1-bedroom-apartment-1683187474-5034","https://imagesmawa.b-cdn.net/public/uploads/property_image/2023/05/NeQX6bCPI3.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/wlTr4d9saS.jpeg","tel:+96897696927"
14,13,"410,000 OMR","Five bedroom villa, Shatti Al Qurum","شاطي القرم, مسقط, عمان","5

 

5","فيلا","https://www.mawa.om/ar/sale/five-bedroom-villa-shatti-al-qurum-1720445444-6743","https://imagesmawa.b-cdn.net/public/uploads/property_image/2024/07/518C76R3Vqv4lt6.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/41248.jpg","tel:+96822057800"
15,10,"125,000 OMR","فيلا للبيع في الخوض 4 بالسيب, مسقط","الخوض, مسقط, عمان","7

 

9","592 متر مربع","https://www.mawa.om/ar/sale/villa-for-sale-1606888157-7276","https://imagesmawa.b-cdn.net/public/uploads/property_image/777491606888157.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/88517.jpg","tel:+96891248444"
16,10,"185,000 OMR","شقه للبيع في جمان ٢ الموج","الموج, مسقط, عمان","1

 

2","84 متر مربع","https://www.mawa.om/ar/sale/apartment-for-sale-in-juman-2-1767628392-3934","https://imagesmawa.b-cdn.net/public/uploads/property_image/2026/01/szjrumktnK.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/19Wztl8ijC.jpg","tel:+96871666610"
17,13,"145,000 OMR","Single floor villa for Sale in Hail North, Residential Area","الحيل  الشمالية, مسقط, عمان","3

 

4","فيلا","https://www.mawa.om/ar/sale/single-floor-villa-for-sale-in-hail-north-residential-area-1612879292-761","https://imagesmawa.b-cdn.net/public/uploads/property_image/260251612879292.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/41248.jpg","tel:+96899212998"
18,3,"299,000 OMR","Residential Land for Sale in Al Qurum | REF 383YB","القرم, مسقط, عمان",,"أرض","https://www.mawa.om/ar/sale/residential-land-for-sale-in-al-qurum-ref-383yb-1722847662-2238","https://imagesmawa.b-cdn.net/public/uploads/property_image/2024/08/RwmfaMU3K91N050.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png","tel:+96892228023"
19,0,"69,500 OMR","1 BR Flawless Furnished Freehold Apartment in Hawana Salalah",,"1

 

1","شقة","https://www.mawa.om/ar/sale/1-br-flawless-furnished-freehold-apartment-in-hawana-salalah-1774335009-381",,"https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893389810"
20,5,"68,000 OMR","Two bedroom Apartment, Lamat Azaiba, Muscat Oman","العذيبة, مسقط, عمان","2

 

2","شقة","https://www.mawa.om/ar/sale/two-bedroom-apartment-lamat-azaiba-muscat-oman-1612880474-769","https://imagesmawa.b-cdn.net/public/uploads/property_image/427281612880474.jpg","https://imagesmawa.b-cdn.net/public/uploads/company_image/41248.jpg","tel:+96899212998"
21,7,"190,000 OMR","5 BR + Maid’s Room Fully Furnished Villa in Al Hail – Nearby Amenities","الحيل , مسقط, عمان","5

 

6","فيلا","https://www.mawa.om/ar/sale/5-br-maids-room-fully-furnished-villa-in-al-hail-nearby-amenities-1738488311-7625","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/02/45k2RH8D6d8a8M3.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893893288"
22,5,"39,600 OMR","شقق جديدة تتألف من غرفة نوم بتشطيبات حديثة في موقع استراتيجي في الحيل.","الحيل , مسقط, عمان","1

 

2","شقة","https://www.mawa.om/ar/sale/brand-new-1-bedroom-apartments-with-a-high-finishing-in-a-strategic-location-at-al-hail-1635835524-1335","https://imagesmawa.b-cdn.net/public/uploads/property_image/gLYqPtJxYe.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/88517.jpg","tel:+96891248444"
23,9,"120,000 OMR","Charming Apartment for Rent & Sale in Al Mouj | REF 459YB","الموج, مسقط, عمان","2

 

2","شقة","https://www.mawa.om/ar/sale/charming-apartment-for-rent-sale-in-al-mouj-ref-459yb-1722847768-7442","https://imagesmawa.b-cdn.net/public/uploads/property_image/2024/08/ngUArnynveznPCe.webp","https://imagesmawa.b-cdn.net/public/uploads/company_image/33585.png","tel:+96892228023"
24,17,"124,031 OMR","شقة فاخرة مفروشة بالكامل بغرفة نوم واحدة | خطة سداد على 3 سنوات | لا في ريزيدنسز","مسقط - أخرى , مسقط, عمان","1

 

2","75 متر مربع","https://www.mawa.om/ar/sale/opulent-serviced-1-br-3-years-payment-plan-la-vie-residences-1745935585-347","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/04/meOkgknr1i.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/Xn13e55u1F.png","tel:+968096762357"
25,14,"120,000 OMR","2 BR Corner Spacious Apartment in Al Mouj – Seaview","الموج, مسقط, عمان","2

 

2","شقة","https://www.mawa.om/ar/sale/2-br-corner-spacious-apartment-in-al-mouj-seaview-1765947810-6502","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/12/d88TrrSaYGKGi6a.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/16185.png","tel:+96893893443"
26,8,"119,394 OMR","شقة فاخرة مكونة من غرفتين وصالة وشرفة للبيع في أبتاون مسقط","مسقط - أخرى , مسقط, عمان","2

 

3","154.716 متر مربع","https://www.mawa.om/ar/sale/luxurious-2bhk-apartment-with-balcony-for-sale-in-uptown-muscat-1753468931-9614","https://imagesmawa.b-cdn.net/public/uploads/property_image/2025/07/mmuYVWVvjQ.jpeg","https://imagesmawa.b-cdn.net/public/uploads/company_image/Xn13e55u1F.png","tel:+968096762357"
